id,title,genre
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion (1995),Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,Dangerous Minds (1995),Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,Wings of Courage (1995),Adventure|Romance|IMAX
34,Babe (1995),Children|Drama
35,Carrington (1995),Drama|Romance
36,Dead Man Walking (1995),Crime|Drama
37,Across the Sea of Time (1995),Documentary|IMAX
38,It Takes Two (1995),Children|Comedy
39,Clueless (1995),Comedy|Romance
40,"Cry, the Beloved Country (1995)",Drama
41,Richard III (1995),Drama|War
42,Dead Presidents (1995),Action|Crime|Drama
43,Restoration (1995),Drama
44,Mortal Kombat (1995),Action|Adventure|Fantasy
45,To Die For (1995),Comedy|Drama|Thriller
46,How to Make an American Quilt (1995),Drama|Romance
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
50,Mighty Aphrodite (1995),Comedy|Drama|Romance
51,Lamerica (1994),Adventure|Drama
52,"Big Green, The (1995)",Children|Comedy
53,Georgia (1995),Drama
54,Home for the Holidays (1995),Drama
55,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
56,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
57,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
58,Eye for an Eye (1996),Drama|Thriller
59,Mr. Holland's Opus (1995),Drama
60,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
61,Two if by Sea (1996),Comedy|Romance
62,Bio-Dome (1996),Comedy
63,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
64,Two Bits (1995),Drama
65,French Twist (Gazon maudit) (1995),Comedy|Romance
66,Friday (1995),Comedy
67,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
68,Fair Game (1995),Action
69,Kicking and Screaming (1995),Comedy|Drama
70,"Misérables, Les (1995)",Drama|War
71,Bed of Roses (1996),Drama|Romance
72,Screamers (1995),Action|Sci-Fi|Thriller
73,Nico Icon (1995),Documentary
74,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
75,"Juror, The (1996)",Drama|Thriller
76,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
77,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
78,Antonia's Line (Antonia) (1995),Comedy|Drama
79,Once Upon a Time... When We Were Colored (1995),Drama|Romance
80,Last Summer in the Hamptons (1995),Comedy|Drama
81,Angels and Insects (1995),Drama|Romance
82,White Squall (1996),Action|Adventure|Drama
83,Dunston Checks In (1996),Children|Comedy
84,Black Sheep (1996),Comedy
85,Nick of Time (1995),Action|Thriller
86,Mary Reilly (1996),Drama|Horror|Thriller
87,Vampire in Brooklyn (1995),Comedy|Horror|Romance
88,Beautiful Girls (1996),Comedy|Drama|Romance
89,Broken Arrow (1996),Action|Adventure|Thriller
90,In the Bleak Midwinter (1995),Comedy|Drama
91,"Hate (Haine, La) (1995)",Crime|Drama
92,Shopping (1994),Action|Thriller
93,Heidi Fleiss: Hollywood Madam (1995),Documentary
94,City Hall (1996),Drama|Thriller
95,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
96,Mr. Wrong (1996),Comedy
97,Unforgettable (1996),Mystery|Sci-Fi|Thriller
98,Happy Gilmore (1996),Comedy
99,"Bridges of Madison County, The (1995)",Drama|Romance
100,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
101,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
102,Braveheart (1995),Action|Drama|War
103,Taxi Driver (1976),Crime|Drama|Thriller
104,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
105,Before and After (1996),Drama|Mystery
106,Margaret's Museum (1995),Drama
107,Anne Frank Remembered (1995),Documentary
108,"Young Poisoner's Handbook, The (1995)",Crime|Drama
109,If Lucy Fell (1996),Comedy|Romance
110,"Steal Big, Steal Little (1995)",Comedy
111,Race the Sun (1996),Adventure|Comedy|Drama
112,"Boys of St. Vincent, The (1992)",Drama
113,Boomerang (1992),Comedy|Romance
114,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
115,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
116,Flirting With Disaster (1996),Comedy
117,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
118,Jupiter's Wife (1994),Documentary
119,Frankie Starlight (1995),Drama|Romance
120,Jade (1995),Thriller
121,Nueba Yol (1995),Comedy|Drama
122,Sonic Outlaws (1995),Documentary
123,Down Periscope (1996),Comedy
124,From the Journals of Jean Seberg (1995),Documentary
125,Man of the Year (1995),Documentary
126,"Neon Bible, The (1995)",Drama
127,Up Close and Personal (1996),Drama|Romance
128,"Birdcage, The (1996)",Comedy
129,"Brothers McMullen, The (1995)",Comedy
130,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
131,"Amazing Panda Adventure, The (1995)",Adventure|Children
132,"Basketball Diaries, The (1995)",Drama
133,"Awfully Big Adventure, An (1995)",Drama
134,Amateur (1994),Crime|Drama|Thriller
135,Apollo 13 (1995),Adventure|Drama|IMAX
136,Rob Roy (1995),Action|Drama|Romance|War
137,"Addiction, The (1995)",Drama|Horror
138,Batman Forever (1995),Action|Adventure|Comedy|Crime
139,Beauty of the Day (Belle de jour) (1967),Drama
140,Beyond Rangoon (1995),Adventure|Drama|War
141,Blue in the Face (1995),Comedy|Drama
142,Canadian Bacon (1995),Comedy|War
143,Casper (1995),Adventure|Children
144,Clockers (1995),Crime|Drama|Mystery
145,Congo (1995),Action|Adventure|Mystery|Sci-Fi
146,Crimson Tide (1995),Drama|Thriller|War
147,Crumb (1994),Documentary
148,Desperado (1995),Action|Romance|Western
149,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
150,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
151,"Doom Generation, The (1995)",Comedy|Crime|Drama
152,First Knight (1995),Action|Drama|Romance
153,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
154,Hackers (1995),Action|Adventure|Crime|Thriller
155,Jeffrey (1995),Comedy|Drama
156,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
157,Judge Dredd (1995),Action|Crime|Sci-Fi
158,Jury Duty (1995),Comedy
159,Kids (1995),Drama
160,Living in Oblivion (1995),Comedy
161,Lord of Illusions (1995),Horror
162,Love & Human Remains (1993),Comedy|Drama
163,Mad Love (1995),Drama|Romance
164,Mallrats (1995),Comedy|Romance
165,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
166,Moonlight and Valentino (1995),Drama|Romance
167,Mute Witness (1994),Comedy|Horror|Thriller
168,Nadja (1994),Drama
169,"Net, The (1995)",Action|Crime|Thriller
170,Nine Months (1995),Comedy|Romance
171,Party Girl (1995),Comedy
172,"Prophecy, The (1995)",Fantasy|Horror|Mystery
173,Reckless (1995),Comedy|Fantasy
174,Safe (1995),Thriller
175,"Scarlet Letter, The (1995)",Drama|Romance
176,Showgirls (1995),Drama
177,Smoke (1995),Comedy|Drama
178,Something to Talk About (1995),Comedy|Drama|Romance
179,Species (1995),Horror|Sci-Fi
180,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
181,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
182,"Tie That Binds, The (1995)",Thriller
183,Three Wishes (1995),Drama|Fantasy
184,Total Eclipse (1995),Drama|Romance
185,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
186,Under Siege 2: Dark Territory (1995),Action
187,Unstrung Heroes (1995),Comedy|Drama
188,Unzipped (1995),Documentary
189,"Walk in the Clouds, A (1995)",Drama|Romance
190,Waterworld (1995),Action|Adventure|Sci-Fi
191,White Man's Burden (1995),Drama
192,Wild Bill (1995),Western
193,"Browning Version, The (1994)",Drama
194,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
195,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
196,Before the Rain (Pred dozhdot) (1994),Drama|War
197,Before Sunrise (1995),Drama|Romance
198,Billy Madison (1995),Comedy
199,"Babysitter, The (1995)",Drama|Thriller
200,Boys on the Side (1995),Comedy|Drama
201,"Cure, The (1995)",Drama
202,Castle Freak (1995),Horror
203,Circle of Friends (1995),Drama|Romance
204,Clerks (1994),Comedy
205,Don Juan DeMarco (1995),Comedy|Drama|Romance
206,Disclosure (1994),Drama|Thriller
207,Drop Zone (1994),Action|Thriller
208,Death and the Maiden (1994),Drama|Thriller
209,Dolores Claiborne (1995),Drama|Thriller
210,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
211,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
212,Exotica (1994),Drama
213,Exit to Eden (1994),Comedy
214,Ed Wood (1994),Comedy|Drama
215,French Kiss (1995),Action|Comedy|Romance
216,Forget Paris (1995),Comedy|Romance
217,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
218,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
219,Hideaway (1995),Thriller
220,Fluke (1995),Children|Drama
221,Farinelli: il castrato (1994),Drama|Musical
222,Gordy (1995),Children|Comedy|Fantasy
223,Gumby: The Movie (1995),Animation|Children
224,"Glass Shield, The (1994)",Crime|Drama
225,Hoop Dreams (1994),Documentary
226,Heavenly Creatures (1994),Crime|Drama
227,Houseguest (1994),Comedy
228,Immortal Beloved (1994),Drama|Romance
229,Heavyweights (Heavy Weights) (1995),Children|Comedy
230,"Hunted, The (1995)",Action
231,I.Q. (1994),Comedy|Romance
232,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
233,Jefferson in Paris (1995),Drama
234,"Jerky Boys, The (1995)",Comedy
235,Junior (1994),Comedy|Sci-Fi
236,Just Cause (1995),Mystery|Thriller
237,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
238,Kiss of Death (1995),Crime|Drama|Thriller
239,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
240,Little Women (1994),Drama
241,"Little Princess, A (1995)",Children|Drama
242,Ladybird Ladybird (1994),Drama
243,"Enfer, L' (1994)",Drama
244,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
245,Legends of the Fall (1994),Drama|Romance|War|Western
246,Major Payne (1995),Comedy
247,Little Odessa (1994),Crime|Drama
248,My Crazy Life (Mi vida loca) (1993),Drama
249,Love Affair (1994),Drama|Romance
250,Losing Isaiah (1995),Drama
251,"Madness of King George, The (1994)",Comedy|Drama
252,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
253,Man of the House (1995),Comedy
254,Mixed Nuts (1994),Comedy
255,Milk Money (1994),Comedy|Romance
256,Miracle on 34th Street (1994),Drama
257,Miami Rhapsody (1995),Comedy
258,My Family (1995),Drama
259,Murder in the First (1995),Drama|Thriller
260,Nobody's Fool (1994),Comedy|Drama|Romance
261,Nell (1994),Drama
262,New Jersey Drive (1995),Crime|Drama
263,Beyond Bedlam (1993),Drama|Horror
264,Nina Takes a Lover (1994),Comedy|Romance
265,Natural Born Killers (1994),Action|Crime|Thriller
266,Only You (1994),Comedy|Romance
267,Once Were Warriors (1994),Crime|Drama
268,Poison Ivy II (1996),Drama|Thriller
269,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
270,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
271,"Perez Family, The (1995)",Comedy|Romance
272,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
273,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
274,Panther (1995),Drama
275,Pushing Hands (Tui shou) (1992),Drama
276,Priest (1994),Drama
277,Quiz Show (1994),Drama
278,Picture Bride (Bijo photo) (1994),Drama|Romance
279,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
280,"Quick and the Dead, The (1995)",Action|Thriller|Western
281,Roommates (1995),Comedy|Drama
282,Ready to Wear (Pret-A-Porter) (1994),Comedy
283,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
284,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
285,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
