movieid,title,genres,movie_logo
1,Toy Story (1995),Animation|Adventure|Comedy,Toy Story (1995).jpg
2,Jumanji (1995),Action|Adventure|Family,Jumanji (1995).jpg
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men (1995).jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale (1995).jpg
5,Father of the Bride Part II (1995),Comedy|Family|Romance,Father of the Bride Part II (1995).jpg
6,Heat (1995),Action|Crime|Drama,Heat (1995).jpg
7,Sabrina (1995),Comedy|Drama,Sabrina (1995).jpg
8,Sudden Death (1995),Action|Crime|Thriller,Sudden Death (1995).jpg
9,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye (1995).jpg
10,The American President (1995),Comedy|Drama|Romance,The American President (1995).jpg
11,Dracula: Dead and Loving It (1995),Comedy|Fantasy|Horror,Dracula: Dead and Loving It (1995).jpg
12,Balto (1995),Animation|Adventure|Drama,Balto (1995).jpg
13,Nixon (1995),Biography|Drama|History,Nixon (1995).jpg
14,Cutthroat Island (1995),Action|Adventure|Comedy,Cutthroat Island (1995).jpg
15,Casino (1995),Crime|Drama,Casino (1995).jpg
16,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility (1995).jpg
17,Four Rooms (1995),Comedy,Four Rooms (1995).jpg
18,Ace Ventura: When Nature Calls (1995),Adventure|Comedy|Crime,Ace Ventura: When Nature Calls (1995).jpg
19,Money Train (1995),Action|Comedy|Crime,Money Train (1995).jpg
20,Get Shorty (1995),Comedy|Crime|Thriller,Get Shorty (1995).jpg
21,Copycat (1995),Crime|Drama|Mystery,Copycat (1995).jpg
22,Assassins (1995),Action|Crime|Thriller,Assassins (1995).jpg
23,Powder (1995),Drama|Fantasy|Mystery,Powder (1995).jpg
24,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas (1995).jpg
25,Othello (1995),Drama|Romance,Othello (1995).jpg
26,Now and Then (1995),Comedy|Drama|Romance,Now and Then (1995).jpg
27,Persuasion,Drama,Persuasion.jpg
28,The City of Lost Children (1995),Fantasy|Sci-Fi,The City of Lost Children (1995).jpg
29,"Yao a yao, yao dao wai po qiao (1995)",Crime|Drama|Romance,"Yao a yao, yao dao wai po qiao (1995).jpg"
30,Dangerous Minds (1995),Biography|Drama,Dangerous Minds (1995).jpg
31,Twelve Monkeys (1995),Mystery|Sci-Fi|Thriller,Twelve Monkeys (1995).jpg
32,Wings of Courage (1995),Adventure|Romance,Wings of Courage (1995).jpg
33,Babe (1995),Comedy|Drama|Family,Babe (1995).jpg
34,Carrington (1995),Biography|Drama|Romance,Carrington (1995).jpg
35,Dead Man Walking (1995),Crime|Drama,Dead Man Walking (1995).jpg
36,Across the Sea of Time (1995),Adventure|Drama|Family,Across the Sea of Time (1995).jpg
37,It Takes Two (1995),Comedy|Family|Romance,It Takes Two (1995).jpg
38,Clueless (1995),Comedy|Romance,Clueless (1995).jpg
39,"Cry, the Beloved Country (1995)",Drama|Thriller,"Cry, the Beloved Country (1995).jpg"
40,Richard III (1995),Drama|War,Richard III (1995).jpg
41,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents (1995).jpg
42,Restoration (1995),Biography|Drama|History,Restoration (1995).jpg
43,Mortal Kombat (1995),Action|Adventure|Fantasy,Mortal Kombat (1995).jpg
44,To Die For (1995),Comedy|Crime|Drama,To Die For (1995).jpg
45,How to Make an American Quilt (1995),Comedy|Drama|Romance,How to Make an American Quilt (1995).jpg
46,Se7en (1995),Crime|Drama|Mystery,Se7en (1995).jpg
