id,title,genre
114709,Toy Story (1995),Animation|Adventure|Comedy
113497,Jumanji (1995),Action|Adventure|Family
113228,Grumpier Old Men (1995),Comedy|Romance
114885,Waiting to Exhale (1995),Comedy|Drama|Romance
113041,Father of the Bride Part II (1995),Comedy|Family|Romance
113277,Heat (1995),Action|Crime|Drama
114319,Sabrina (1995),Comedy|Drama
112302,Tom and Huck (1995),Adventure|Comedy|Drama
114576,Sudden Death (1995),Action|Crime|Thriller
113189,GoldenEye (1995),Action|Adventure|Thriller
112346,The American President (1995),Comedy|Drama|Romance
112896,Dracula: Dead and Loving It (1995),Comedy|Fantasy|Horror
112453,Balto (1995),Animation|Adventure|Drama
113987,Nixon (1995),Biography|Drama|History
112760,Cutthroat Island (1995),Action|Adventure|Comedy
112641,Casino (1995),Crime|Drama
114388,Sense and Sensibility (1995),Drama|Romance
113101,Four Rooms (1995),Comedy
112281,Ace Ventura: When Nature Calls (1995),Adventure|Comedy|Crime
113845,Money Train (1995),Action|Comedy|Crime
113161,Get Shorty (1995),Comedy|Crime|Thriller
112722,Copycat (1995),Crime|Drama|Mystery
112401,Assassins (1995),Action|Crime|Thriller
114168,Powder (1995),Drama|Fantasy|Mystery
113627,Leaving Las Vegas (1995),Drama|Romance
114057,Othello (1995),Drama|Romance
114011,Now and Then (1995),Comedy|Drama|Romance
114117,Persuasion,Drama
112682,The City of Lost Children (1995),Fantasy|Sci-Fi
115012,"Yao a yao, yao dao wai po qiao (1995)",Crime|Drama|Romance
112792,Dangerous Minds (1995),Biography|Drama
114746,Twelve Monkeys (1995),Mystery|Sci-Fi|Thriller
114952,Wings of Courage (1995),Adventure|Romance
112431,Babe (1995),Comedy|Drama|Family
112637,Carrington (1995),Biography|Drama|Romance
112818,Dead Man Walking (1995),Crime|Drama
112286,Across the Sea of Time (1995),Adventure|Drama|Family
113442,It Takes Two (1995),Comedy|Family|Romance
112697,Clueless (1995),Comedy|Romance
112749,"Cry, the Beloved Country (1995)",Drama|Thriller
114279,Richard III (1995),Drama|War
112819,Dead Presidents (1995),Action|Crime|Drama
114272,Restoration (1995),Biography|Drama|History
113855,Mortal Kombat (1995),Action|Adventure|Fantasy
114681,To Die For (1995),Comedy|Crime|Drama
113347,How to Make an American Quilt (1995),Comedy|Drama|Romance
114369,Se7en (1995),Crime|Drama|Mystery
114148,Pocahontas (1995),Animation|Adventure|Drama
114916,When Night Is Falling (1995),Drama|Romance
114814,The Usual Suspects (1995),Crime|Drama|Mystery
109950,Guardian Angel (1994),Action|Drama|Thriller
113819,Mighty Aphrodite (1995),Comedy|Fantasy|Romance
110299,Lamerica (1994),Drama
112499,The Big Green (1995),Comedy|Family|Sport
113158,Georgia (1995),Drama|Music
113541,Kids of the Round Table (1995),Adventure|Comedy|Family
113321,Home for the Holidays (1995),Comedy|Drama|Romance
110877,Il Postino: The Postman (1994),Biography|Comedy|Drama
112714,Le confessionnal (1995),Drama|Mystery|Thriller
113419,The Indian in the Cupboard (1995),Drama|Family|Fantasy
116260,Eye for an Eye (1996),Crime|Drama|Thriller
113862,Mr. Holland's Opus (1995),Drama|Music
116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
118002,Two If by Sea (1996),Comedy|Crime|Romance
115683,Bio-Dome (1996),Comedy
116839,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
114753,Two Bits (1995),Drama
113149,French Twist (1995),Comedy
113118,Friday (1995),Comedy|Drama
116367,From Dusk Till Dawn (1996),Action|Crime|Horror
113010,Fair Game (1995),Action|Crime|Romance
113537,Kicking and Screaming (1995),Comedy|Drama|Romance
113828,Les misí©rables (1995),Drama|History
115644,Bed of Roses (1996),Romance|Drama
115676,Big Bully (1996),Comedy|Thriller
114367,Screamers (1995),Sci-Fi|Thriller
113973,Nico Icon (1995),Documentary|Biography|Music
112744,The Crossing Guard (1995),Drama|Thriller
116731,The Juror (1996),Drama|Thriller
112445,The White Balloon (1995),Drama|Family
114660,Things to Do in Denver When You're Dead (1995),Crime|Drama
112379,Antonia's Line (1995),Comedy|Drama
114039,Once Upon a Time... When We Were Colored (1995),Drama|Romance
113612,Last Summer in the Hamptons (1995),Comedy|Drama
112365,Angels and Insects (1995),Drama|Romance
118158,White Squall (1996),Adventure|Drama
116151,Dunston Checks In (1996),Comedy|Adventure|Family
115697,Black Sheep (1996),Comedy
113972,Nick of Time (1995),Action|Crime|Drama
113490,The Journey of August King (1995),Drama
117002,Mary Reilly (1996),Drama|Horror|Romance
114825,Vampire in Brooklyn (1995),Comedy|Fantasy|Horror
115639,Beautiful Girls (1996),Comedy|Drama|Romance
115759,Broken Arrow (1996),Action|Crime|Thriller
113403,A Midwinter's Tale (1995),Comedy
113247,La Haine (1995),Crime|Drama
111173,Shopping (1994),Action|Crime|Drama
113283,Heidi Fleiss: Hollywood Madam (1995),Documentary|Biography
115907,City Hall (1996),Drama
115734,Bottle Rocket (1996),Comedy|Crime|Drama
117102,Mr. Wrong (1996),Comedy
118040,Unforgettable (1996),Drama|Mystery|Sci-Fi
116483,Happy Gilmore (1996),Comedy|Family|Sport
112579,The Bridges of Madison County (1995),Drama|Romance
110251,Nobody Loves Me (1994),Comedy|Drama
117110,Muppet Treasure Island (1996),Action|Adventure|Comedy
112646,Catwalk (1995),Documentary
113276,Headless Body in Topless Bar (1995),Comedy|Crime|Drama
112573,Braveheart (1995),Biography|Drama|History
75314,Taxi Driver (1976),Crime|Drama
113326,Rumble in the Bronx (1995),Action|Comedy|Crime
115645,Before and After (1996),Crime|Drama|Mystery
113774,Margaret's Museum (1995),Drama
112556,Happiness Is in the Field (1995),Comedy
112373,Anne Frank Remembered (1995),Documentary|Biography|War
115033,The Young Poisoner's Handbook (1995),Crime|Drama
116606,If Lucy Fell (1996),Comedy|Romance
114536,Steal Big Steal Little (1995),Comedy
117427,Race the Sun (1996),Adventure|Comedy|Drama
106473,The Boys of St. Vincent (1992),Drama
103859,Boomerang (1992),Comedy|Drama|Romance
109424,Chungking Express (1994),Comedy|Drama|Romance
114808,The Star Maker (1995),Drama|Romance
116324,Flirting with Disaster (1996),Comedy
110647,The Neverending Story III (1994),Adventure|Comedy|Family
111055,The Silences of the Palace (1994),Drama
110217,Jupiter's Wife (1995),Documentary|Biography|Mystery
114131,Pie in the Sky (1996),Comedy|Romance
112364,Angela (1995),Drama
113107,Frankie Starlight (1995),Drama|Romance|War
113451,Jade (1995),Crime|Drama|Thriller
114015,Nueba Yol (1995),Comedy|Drama
114500,Sonic Outlaws (1995),Documentary
116130,Down Periscope (1996),Comedy
113125,From the Journals of Jean Seberg (1995),Documentary|Biography
113756,Man of the Year (1995),Comedy|Romance
113952,The Neon Bible (1995),Drama
114618,Target (1995),Drama
118055,Up Close & Personal (1996),Drama|Romance
115685,The Birdcage (1996),Comedy
94878,Cienie (1988),Drama
113200,Gospa (1995),Drama
112585,The Brothers McMullen (1995),Comedy|Drama|Romance
112442,Bad Boys (1995),Action|Comedy|Crime
112342,The Amazing Panda Adventure (1995),Family|Adventure|Drama
112461,The Basketball Diaries (1995),Biography|Crime|Drama
112427,An Awfully Big Adventure (1995),Comedy|Drama|Romance
109093,Amateur (1994),Comedy|Crime|Drama
112384,Apollo 13 (1995),Adventure|Drama|History
114287,Rob Roy (1995),Adventure|Biography|History
112288,The Addiction (1995),Horror
112462,Batman Forever (1995),Action|Adventure|Fantasy
61395,Belle de Jour (1967),Drama
112495,Beyond Rangoon (1995),Action|Drama
112541,Blue in the Face (1995),Comedy
109370,Canadian Bacon (1995),Comedy
112642,Casper (1995),Comedy|Family|Fantasy
112688,Clockers (1995),Crime|Drama|Mystery
112715,Congo (1995),Action|Adventure|Mystery
112740,Crimson Tide (1995),Action|Drama|Thriller
109508,Crumb (1994),Documentary|Biography|Comedy
112851,Desperado (1995),Action|Thriller
112857,Devil in a Blue Dress (1995),Crime|Drama|Mystery
112864,Die Hard with a Vengeance (1995),Action|Adventure|Thriller
112887,The Doom Generation (1995),Action|Comedy|Crime
113044,Feast of July (1995),Crime|Drama|Mystery
113071,First Knight (1995),Action|Adventure|Romance
113114,Free Willy 2: The Adventure Home (1995),Adventure|Drama|Family
113243,Hackers (1995),Comedy|Crime|Drama
113464,Jeffrey (1995),Comedy|Drama
113481,Johnny Mnemonic (1995),Action|Crime|Sci-Fi
113492,Judge Dredd (1995),Action|Crime|Sci-Fi
113500,Jury Duty (1995),Comedy
113540,Kids (1995),Drama
